"","B365H","B365D","B365A"
"1938",2.45,3.2,3.3
"1939",4.75,3.6,1.85
"1940",4.5,3.6,1.91
"1941",7.5,4.5,1.5
"1942",6.5,4.33,1.57
"1943",3.4,3.2,2.2
"1944",7.5,4.2,1.53
"1945",5.75,4.2,1.65
"1946",2.1,3.5,3.8
"1947",3.4,3.5,2.25
"1948",2.25,3.5,3.4
"1949",2.9,3.6,2.5
"1950",3.4,3.4,2.3
"1951",2.4,3.3,3
"1952",2,3.6,4
"1953",1.91,3.6,4.5
"1954",3.8,3.5,2.1
"1955",2.05,3.4,4.1
"1956",2.9,3.25,2.7
"1957",1.95,3.5,4.33
"1958",3.75,3.6,2.1
"1959",3.6,3.5,2.15
"1960",3.1,3.5,2.4
"1961",1.95,3.6,4.2
"1962",1.83,3.7,4.8
"1963",1.33,5.75,10
"1964",2.1,3.5,3.75
"1965",1.4,5,9
"1966",1.36,5.25,9.5
"1967",1.33,5.25,12
"1968",1.44,4.5,7.5
"1969",1.44,4.5,9
"1970",1.83,3.75,4.75
"1971",2.15,3.3,3.9
"1972",1.44,4.75,8
"1973",1.5,4.5,7.5
"1974",1.75,3.8,5.25
"1975",2.75,3.4,2.7
"1976",2.75,3.6,2.63
"1977",2.3,3.75,3.1
"1978",1.83,3.6,5
"1979",2,3.6,4
"1980",3.8,3.5,2.1
"1981",1.57,4,7
"1982",1.7,3.9,5.5
"1983",2.6,3.3,3
"1984",2.1,3.4,4
"1985",3.8,3.5,2.1
"1986",3.6,3.5,2.15
"1987",2.45,3.3,3.2
"1988",2.25,3.3,3.6
"1989",3.8,3.5,2.1
"1990",3,3.4,2.5
"1991",2.05,3.4,3.6
"1992",2.9,3.4,2.6
"1993",2.05,3.5,3.9
"1994",2.7,3.4,2.8
"1995",3.25,3.4,2.38
"1996",1.5,4.5,7.5
"1997",1.57,4.2,6.5
"1998",2.1,3.6,3.75
"1999",2.1,3.75,3.6
"2000",1.95,3.6,4.2
"2001",2.8,3.5,2.63
"2002",1.73,3.8,5.5
"2003",1.65,4.2,5.5
"2004",1.53,4.2,7.5
"2005",1.73,4,5
"2006",2.7,3.5,2.7
"2007",2.7,3.4,2.8
"2008",2,3.8,3.8
"2009",1.8,4,4.5
"2010",4.5,4,1.8
"2011",2.2,3.6,3.4
"2012",1.85,3.8,4.5
"2013",3.1,3.5,2.4
"2014",3.2,3.5,2.35
"2015",4.33,4,1.85
"2016",1.91,3.75,4.33
"2017",2.1,3.5,3.8
"2018",2.63,3.4,2.88
"2019",1.5,4.33,6
"2020",1.73,3.8,5.5
"2021",1.57,4.33,6.25
"2022",2.25,3.4,3.5
"2023",1.95,3.6,4.2
"2024",1.75,3.7,5.5
"2025",1.91,4,4
"2026",1.53,4.33,7
"2027",2.05,3.6,3.8
"2028",1.67,3.8,6
"2029",1.44,4.75,8
"2030",1.4,4.75,10
"2031",1.91,3.8,3.8
"2032",2.88,3.4,2.6
"2033",2.3,3.25,3.5
"2034",1.44,4.75,8.5
"2035",2.63,3.4,2.88
"2036",2.5,3.4,3
"2037",1.55,4,5.75
"2038",1.73,4,5
"2039",1.57,4.5,6
"2040",1.5,4.5,7.5
"2041",2,3.8,3.8
"2042",1.25,7,13
"2043",1.33,5.75,10
"2044",1.29,6,12
"2045",1.7,4,5.5
"2046",1.6,4.33,6
"2047",1.3,6,11
"2048",1.2,7,13
"2049",1.53,4.75,6
"2050",1.4,5.25,8.5
"2051",1.62,4.2,6
"2052",2.1,3.75,3.6
"2053",1.22,7,15
"2054",1.83,3.75,4.75
"2055",1.33,5,9
"2056",1.3,6,11
"2057",2.5,3.6,2.9
"2058",1.2,7.5,16
"2059",2.6,3.5,2.8
"2060",1.33,5.25,12
"2061",1.44,4.5,9
"2062",1.45,4.5,8.5
"2063",2.6,3.3,3
"2064",1.55,4.2,7
"2065",1.91,3.5,4.75
"2066",1.7,3.75,5.75
"2067",3,3.25,2.38
"2068",1.67,3.8,6
"2069",2.1,3.5,3.75
"2070",1.22,7,17
"2071",1.53,4.33,7
"2072",2.1,3.4,3.9
"2073",1.67,4.2,5.25
"2074",6,4.2,1.62
"2075",2.6,3.4,2.88
"2076",2.4,3.4,3.2
"2077",2.88,3.6,2.5
"2078",5.75,4.33,1.62
"2079",2.05,3.5,4
"2080",3.2,3.5,2.2
"2081",5,3.7,1.8
"2082",2.5,3.4,3
"2083",2.15,3.4,3.8
"2084",2.63,3.4,2.88
"2085",2.1,3.5,3.8
"2086",2.3,3.4,3.4
"2087",6,4.5,1.57
"2088",2,3.6,4
"2089",4.5,4,1.8
"2090",2.3,3.5,3.3
"2091",2,3.5,4.2
"2092",2.45,3.4,3.1
"2093",6,4.2,1.62
"2094",2.9,3.5,2.55
"2095",2.05,3.6,3.8
"2096",3.2,3.4,2.4
"2097",4.33,3.5,1.95
"2098",4.5,3.75,1.85
"2099",2.38,3.4,3.25
"2100",5.25,4,1.7
"2101",6,4.2,1.6
"2102",2.2,3.4,3.6
"2103",2.4,3.3,3.25
"2104",4.5,3.6,1.91
"2105",1.83,3.75,4.75
"2106",2.05,3.4,4.2
"2107",1.75,4,5
"2108",1.55,4.33,6.5
"2109",1.57,4,7
"2110",1.5,4.5,7.5
"2111",2.7,3.4,2.8
"2112",3.6,3.5,2.05
"2113",1.95,3.5,4.33
"2114",1.73,3.75,5.5
"2115",1.73,3.8,5.5
"2116",2.8,3.25,2.5
"2117",1.6,4,6.5
"2118",2.63,3.4,2.88
"2119",1.53,4,6
"2120",2.8,3.4,2.7
"2121",1.36,5.5,9
"2122",2.55,3.3,3
"2123",2.1,3.3,4
"2124",3.8,3.6,2.05
"2125",5.25,4,1.7
"2126",2.5,3.2,3.2
"2127",3.25,3.2,2.3
"2128",2.05,3.3,4.2
"2129",4.33,3.6,1.95
"2130",2.7,3.4,2.8
"2131",1.62,3.75,5.5
"2132",2,3.5,4.2
"2133",2.7,3.2,2.9
"2134",2.2,3.4,3.6
"2135",4.5,3.75,1.85
"2136",2.75,3.3,2.8
"2137",3.5,3.6,2.15
"2138",3.2,3.4,2.4
"2139",2.6,3.4,2.9
"2140",4.75,3.8,1.8
"2141",3.2,3.3,2.45
"2142",2.9,3.3,2.63
"2143",5.5,3.9,1.7
"2144",2.5,3.25,3.2
"2145",3,3.4,2.5
"2146",8,4.75,1.45
"2147",5.25,3.75,1.75
"2148",2.5,3.3,3.1
"2149",2.1,3.3,4
"2150",3.4,3.4,2.1
"2151",4.5,4,1.8
"2152",3,3.5,2.45
"2153",1.75,4,5
"2154",2.75,3.25,2.8
"2155",2.05,3.4,4.2
"2156",5,4,1.75
"2157",1.91,3.6,4.5
"2158",2.7,3.4,2.75
"2159",2.1,3.4,3.9
"2160",1.91,3.4,4.5
"2161",1.8,3.6,5.25
"2162",2.38,3.25,3.4
"2163",2.25,3.3,3.6
"2164",3.2,3.25,2.5
"2165",2.05,3.5,4
"2166",1.67,3.8,6
"2167",3.75,3.4,2
"2168",3.1,3.5,2.4
"2169",6,4.75,1.53
"2170",4.2,3.8,1.91
"2171",2.5,3.5,3
"2172",1.44,4.75,8
"2173",1.57,4.2,6.5
"2174",2.6,3.4,2.9
"2175",1.36,5.5,9
"2176",1.4,4.75,8
"2177",1.75,3.8,5.25
"2178",1.36,5.25,9.5
"2179",1.5,4.33,8
"2180",1.4,4.2,9
"2181",2.38,3.4,3.25
"2182",1.53,4.33,7
"2183",1.91,3.5,4
"2184",1.22,7,15
"2185",2.05,3.6,3.9
"2186",2.5,3.3,3.1
"2187",6,4.2,1.62
"2188",2.6,3.4,2.9
"2189",4.33,3.4,2
"2190",2.15,3.5,3.6
"2191",4.2,3.6,1.95
"2192",3.75,3.5,2.1
"2193",5,4,1.75
"2194",2.05,3.5,4
"2195",4.33,3.5,1.95
"2196",2.38,3.25,3
"2197",3,3.4,2.55
"2198",2.4,3.25,3.3
"2199",3.4,3.3,2.15
"2200",1.7,3.8,5.75
"2201",2.05,3.75,3.7
"2202",3.1,3.3,2.5
"2203",2.05,3.4,4.2
"2204",2.9,3.4,2.6
"2205",7,4.33,1.53
"2206",4.75,3.6,1.85
"2207",2.55,3.3,3
"2208",2.2,3.25,3.75
"2209",2.8,3.2,2.8
"2210",2.1,3.3,4
"2211",2.63,3.1,3.1
"2212",2.6,3.1,2.8
"2213",4.33,3.4,2
"2214",2.25,3.3,3.6
"2215",2.4,3.2,3.4
"2216",4,3.4,2.1
"2217",2.4,3.6,3
"2218",2.25,3.5,3.4
"2219",4,3.8,1.95
"2220",2.6,3.5,2.8
"2221",2.05,3.5,4
"2222",2.63,3.3,2.9
"2223",3.6,3.4,2.2
"2224",4,3.5,2.05
"2225",5,4,1.73
"2226",1.91,3.5,4.75
"2227",1.8,3.5,4.5
"2228",4,3.6,2
"2229",1.95,3.6,4.2
"2230",3.6,3.5,2
"2231",1.57,4.33,6.5
"2232",1.44,4.75,8
"2233",3,3.5,2.45
"2234",1.29,6.5,11
"2235",1.25,6.5,15
"2236",1.95,3.6,4.2
"2237",1.4,5,9
"2238",1.35,5.5,9.5
"2239",1.33,5.5,8.5
"2240",1.29,5.5,9.5
"2241",1.2,7.5,17
"2242",1.22,7,15
"2243",1.29,6,13
"2244",3.1,3.75,2.3
"2245",1.4,5.25,8
"2246",1.6,4.5,5.75
"2247",1.91,3.7,4.33
"2248",1.09,13,29
"2249",1.45,5,7.5
"2250",1.85,3.5,5
"2251",4.2,3.6,1.95
"2252",1.65,4.2,5.5
"2253",5,4,1.75
"2254",2.4,3.4,3.2
"2255",3,3.3,2.6
"2256",4.33,3.4,1.85
"2257",1.83,3.75,4.75
"2258",2.05,3.5,3.9
"2259",7.5,5,1.44
"2260",2.6,3.5,2.8
"2261",2.15,3.5,3.6
"2262",6.5,4,1.6
"2263",1.85,3.75,4.5
"2264",2.25,3.6,3.3
"2265",1.91,3.75,4.2
"2266",9,5,1.4
"2267",6,3.8,1.67
"2268",3.3,3.3,2.38
"2269",9,6,1.33
"2270",3.5,3.5,2.2
"2271",2.9,3.1,2.6
"2272",2.4,3.25,3.3
"2273",3.6,3.4,2.2
"2274",2.9,3.25,2.7
"2275",9,5,1.4
"2276",5.75,3.8,1.7
"2277",2.5,3.1,3.3
"2278",5.75,4,1.67
"2279",2.25,3.3,3.6
"2280",2.45,3.5,3
"2281",1.57,4.5,6
"2282",2.15,3.4,3.8
"2283",1.53,4.33,7
"2284",1.75,3.8,5.25
"2285",1.25,6.25,15
"2286",1.36,5,8.5
"2287",1.25,6.5,14
"2288",1.18,8,19
"2289",1.95,3.6,4.2
"2290",1.25,6.5,15
"2291",1.3,5.75,12
"2292",2.4,3.5,3.1
"2293",1.45,4.6,8.5
"2294",1.17,9,19
"2295",1.25,6.75,13
"2296",1.14,9,23
"2297",2.15,3.5,3.6
"2298",5.25,4,1.7
"2299",6.5,4.5,1.53
"2300",3.5,3.3,2.3
"2301",5.25,4,1.7
"2302",6.5,4.2,1.57
"2303",1.75,3.5,4.75
"2304",3.25,3.4,2.38
"2305",1.7,3.9,5.5
"2306",2.1,3.2,4.2
"2307",1.91,3.5,4.75
"2308",4.5,3.9,1.83
"2309",1.73,3.6,4.75
"2310",5.5,4.2,1.65
"2311",1.75,3.5,4.75
"2312",2.1,3.6,3.75
"2313",1.73,4,5
"2314",1.8,3.8,4.75
"2315",1.6,4.33,6
"2316",3.6,3.5,2.15
"2317",4.2,3.75,1.91
"2318",4.2,3.6,1.95
"2319",2.2,3.4,3.6
"2320",4.5,4,1.8
"2321",1.7,4,5.25
"2322",1.4,5.25,8.5
"2323",1.67,3.8,6
"2324",1.53,4.33,7
"2325",1.75,3.9,5
"2326",1.4,4.5,8
"2327",3.5,3.6,2
"2328",1.5,4.5,7.5
"2329",7.5,4.5,1.5
"2330",3.1,3.3,2.5
"2331",5.75,3.8,1.7
"2332",3.1,3.2,2.6
"2333",3.5,3.3,2.3
"2334",10,5.5,1.3
"2335",4.33,3.5,1.95
"2336",3.3,3.5,2.3
"2337",8,4.75,1.45
"2338",2.15,3.3,3.9
"2339",2.55,3.3,3
"2340",2.45,3.4,3.1
"2341",2.05,3.3,4.2
"2342",1.91,3.7,4.33
"2343",1.44,4.75,8
"2344",7,4.75,1.5
"2345",2.25,3.4,3.5
"2346",2.05,3.5,3.9
"2347",1.8,3.6,5.25
"2348",1.91,3.6,4.5
"2349",5.25,4,1.7
"2350",2.5,3.3,2.9
"2351",2.1,3.6,3.7
"2352",6,4.1,1.62
"2353",5.75,4,1.65
"2354",5.5,4.2,1.65
"2355",1.85,3.6,4.75
"2356",2.05,3.5,4
"2357",1.45,4.5,8.5
"2358",1.57,4.2,6.5
"2359",4.5,3.8,1.85
"2360",2,3.6,4
"2361",1.29,6,13
"2362",1.29,6,12
"2363",1.17,8.5,19
"2364",1.3,6,11
"2365",1.3,5.5,10
"2366",2.35,3.6,3.1
"2367",1.22,7,15
"2368",2.65,3.25,2.9
"2369",2.3,3.4,3.4
"2370",2.15,3.6,3.6
"2371",1.25,6.5,14
"2372",1.73,3.9,5.25
"2373",1.36,5.25,9.5
"2374",1.5,4.75,7
"2375",1.62,4.2,6
"2376",1.14,9,23
"2377",1.5,4.75,7
"2378",1.5,4.5,7.5
"2379",1.22,7,15
"2380",2.15,3.6,3.6
"2381",1.29,6.5,11
"2382",2.15,3.6,3.5
"2383",1.17,8.5,19
"2384",2.15,3.5,3.6
"2385",1.22,7,15
"2386",1.25,6.5,15
"2387",2,3.75,3.8
"2388",1.2,7.5,17
"2389",1.91,3.75,4.2
"2390",1.29,6.5,11
"2391",1.25,7,12
"2392",1.14,9,23
"2393",1.33,5.75,10
"2394",1.2,7,19
"2395",2.6,3.4,2.9
"2396",1.45,4.75,8
"2397",2.2,3.4,3.6
"2398",1.22,6.5,13
"2399",1.25,6,16
"2400",2.15,3.4,3.75
"2401",1.2,7.5,17
"2402",1.25,6.5,14
"2403",1.25,6.5,15
"2404",1.36,5,11
"2405",1.57,4.2,6.5
"2406",2.55,3.2,2.8
"2407",1.36,4.75,8
"2408",2.5,3.3,3.1
"2409",2.25,3.3,3.6
"2410",2.5,3.2,3.2
"2411",7,4,1.57
"2412",1.83,3.5,5.25
"2413",6,4.33,1.6
"2414",2.1,3.4,4
"2415",2.75,3.2,2.88
"2416",2.5,3.2,3.25
"2417",2.7,3.1,3
"2418",3.9,3.3,2.15
"2419",6,3.7,1.7
"2420",2.45,3.1,3.4
"2421",7,4,1.5
"2422",2.3,3.4,3.4
"2423",13,5.25,1.25
"2424",4,3.6,2
"2425",3.2,3.4,2.4
"2426",3.4,3.6,2.2
"2427",2.2,3.4,3.6
"2428",1.7,3.7,6
"2429",2.8,3.25,2.6
"2430",1.75,3.7,5.5
"2431",1.83,3.5,5.25
"2432",1.85,3.75,4.5
"2433",1.65,4,6
"2434",1.83,3.7,4.75
"2435",4.33,4,1.73
"2436",1.6,3.75,5.75
"2437",3.6,3.8,2.05
"2438",2.75,3.3,2.8
"2439",1.8,3.8,4.75
"2440",2,3.6,4
"2441",2.05,3.6,3.8
"2442",2.3,3.4,3.4
"2443",1.62,4,6.5
"2444",3.1,3.3,2.5
"2445",2.6,3.4,2.9
"2446",1.8,3.5,4.5
"2447",6,4.2,1.6
"2448",2.88,3.4,2.63
"2449",2.15,3.3,3.9
"2450",1.95,3.4,4.5
"2451",6.5,4,1.62
"2452",4,3.75,1.95
"2453",1.95,3.3,4
"2454",2,3.5,3.6
"2455",4.75,4.1,1.75
"2456",2.5,3.25,3.2
"2457",9,5,1.4
"2458",2.15,3.4,3.8
"2459",3.4,3.4,2.3
"2460",10,5.75,1.33
"2461",2.63,3.3,2.9
"2462",11,5.5,1.33
"2463",3.1,3.3,2.5
"2464",9.5,5.25,1.36
"2465",3.9,3.4,2.1
"2466",11,6.5,1.29
"2467",2.55,3.3,3
"2468",10,5.25,1.36
"2469",3.3,3.25,2.2
"2470",3,3.4,2.3
"2471",4.2,3.8,1.91
"2472",8,4.75,1.45
"2473",2.38,3.3,3.3
"2474",5,4,1.73
"2475",2.63,3.4,2.88
"2476",2.15,3.5,3.6
"2477",2.63,3.2,2.8
"2478",2.9,3.4,2.6
"2479",7,4.75,1.5
"2480",3.4,3.4,2.3
"2481",2.4,3.3,3.25
"2482",2,3.5,4.2
"2483",2,3.4,4.33
"2484",5,4,1.73
"2485",2.2,3.4,3.6
"2486",2.8,3.5,2.63
"2487",2.1,3.5,3.75
"2488",3,3.5,2.5
"2489",1.62,4.2,6
"2490",1.5,4.5,7.5
"2491",1.36,5.5,9
"2492",1.22,7,15
"2493",1.22,7,15
"2494",2.63,3.25,2.63
"2495",1.33,5.5,11
"2496",1.29,6,13
"2497",1.44,5,7.5
"2498",1.67,4.2,5.25
"2499",1.73,3.8,5.5
"2500",1.25,6.5,15
"2501",1.25,6,10
"2502",1.85,3.75,4
"2503",1.73,3.9,5.25
"2504",2.38,3.3,3.3
"2505",1.75,3.75,5.25
"2506",2.8,3.3,2.75
"2507",2.4,3.3,3.3
"2508",3.1,3.4,2.45
"2509",2.5,3.3,2.9
"2510",5.5,3.75,1.62
"2511",2.5,3.2,3.2
"2512",2.15,3.3,3.9
"2513",2.63,3.3,2.9
"2514",3.6,3.4,2.2
"2515",1.85,3.6,4.75
"2516",2.5,3.2,3.2
"2517",2.4,3.3,2.9
"2518",5.75,4.5,1.5
"2519",11,6,1.3
"2520",5.5,3.8,1.73
"2521",8,4.75,1.44
"2522",1.95,3.4,4.5
"2523",2.2,3.3,3.75
"2524",2.05,3.5,4
"2525",5.75,3.8,1.7
"2526",1.75,3.7,5.5
"2527",1.7,3.8,5.75
"2528",2.3,3.25,3.5
"2529",2.1,3.4,4
"2530",2.2,3.3,3.8
"2531",5.25,4,1.73
"2532",3,3.3,2.55
"2533",4,3.8,1.8
"2534",2.4,3.5,2.75
"2535",10,5.25,1.36
"2536",2.25,3.4,3.5
"2537",1.67,4,5.75
"2538",2,3.6,4
"2539",4.75,4.2,1.75
"2540",1.67,4,5.75
"2541",1.62,4.1,6
"2542",6,4,1.65
"2543",2.38,3.4,3.2
"2544",6,4.5,1.57
"2545",2.25,3.3,3.6
"2546",6,4.1,1.62
"2547",2.3,3.5,3.3
"2548",2.1,3.6,3.7
"2549",3.3,3.6,2.25
"2550",8.5,5.25,1.4
"2551",5.25,4,1.7
"2552",1.2,6.5,13
"2553",1.25,7,12
"2554",2.5,3.6,2.89
"2555",1.19,7.5,17
"2556",2.5,3.39,3
"2557",1.25,6.5,14
"2558",2.54,3.6,2.79
"2559",2.6,3.39,2.6
"2560",1.5,4.75,7
"2561",1.3,5.75,12
"2562",4.5,4,1.72
"2563",1.44,5,7.5
"2564",1.28,5.5,10
"2565",1.57,4.5,6
"2566",1.55,4.59,6
"2567",1.57,4.2,6.5
"2568",2.8,3.25,2.5
"2569",6,4.2,1.61
"2570",1.83,3.5,5.25
"2571",2,3.39,4.33
"2572",2.89,3.25,2.39
"2573",6.5,4.5,1.53
"2574",2.79,3.29,2.75
"2575",2.37,3.29,3.29
"2576",4.75,4.2,1.75
"2577",1.9,3.7,4.33
"2578",2.1,3.5,3.79
"2579",6.5,4.5,1.55
"2580",1.83,3.6,5
"2581",2.5,3.39,3
"2582",5,3.89,1.75
"2583",2.1,3.6,3.7
"2584",3.25,3.3,2.4
"2585",3.29,3.2,2.45
"2586",2.39,3.2,3.39
"2587",2.7,3.1,3
"2588",7.5,4.5,1.5
"2589",2.62,3,3.2
"2590",2.62,3.2,3
"2591",2.37,3.2,3.39
"2592",6.5,3.89,1.61
"2593",2.35,3,3.7
"2594",2.14,3.25,4
"2595",4.2,3.79,1.9
"2596",2.7,3.2,2.62
"2597",1.85,3.5,5
"2598",6.5,4.33,1.55
"2599",4.75,3.6,1.85
"2600",2.75,3.25,2.8
"2601",2.89,3.2,2.7
"2602",2.14,3.2,4
"2603",6.5,4.5,1.53
"2604",2.6,3.25,3
"2605",2.29,3.2,3.6
"2606",7,4.2,1.55
"2607",7.5,4.5,1.5
"2608",7.5,3.89,1.57
"2609",13,6,1.28
"2610",2.89,3.1,2.79
"2611",2.5,3.1,3.29
"2612",2.62,3.2,3
"2613",4,3.39,1.9
"2614",2.25,3.2,3.7
"2615",2.14,3.5,3.6
"2616",2.75,3.3,2.5
"2617",1.36,5.25,10
"2618",2.5,3.2,3.2
"2619",1.18,8,17
"2620",1.25,6.5,15
"2621",1.39,5,9
"2622",1.19,7.5,17
"2623",1.16,8.5,19
"2624",1.3,5.75,12
"2625",1.28,6.5,11
"2626",1.36,4.75,8
"2627",1.3,5.75,12
"2628",2.29,3.29,3.1
"2629",1.28,6,12
"2630",2.25,3.6,3.29
"2631",1.16,8.5,19
"2632",9,5,1.4
"2633",2.39,3.29,3.29
"2634",2.39,3.25,3.29
"2635",2.04,3.5,4
"2636",2.04,3.5,4
"2637",2.29,3.5,3.25
"2638",4.5,4,1.8
"2639",11,6.5,1.28
"2640",2,3.29,4.5
"2641",2.04,3.39,4.2
"2642",7.5,4.5,1.5
"2643",7,4,1.57
"2644",7,4.33,1.44
"2645",1.9,3.5,4.75
"2646",2.04,3.6,3.79
"2647",1.8,3.79,4.75
"2648",1.67,3.6,5.75
"2649",3.79,3.6,2.04
"2650",2.2,3.39,3.6
"2651",2.37,3.29,3.29
"2652",1.72,3.79,5.5
"2653",1.72,3.75,5.5
"2654",6,3.89,1.66
"2655",5.5,3.5,1.8
"2656",2.14,3.2,4
"2657",3,3.2,2.62
"2658",2.25,3.25,3.2
"2659",2.2,3.2,3.89
"2660",9,5,1.33
"2661",4.2,3.75,1.9
"2662",2.29,3.39,3.39
"2663",2.89,3.29,2.62
"2664",8.5,4.75,1.36
"2665",11,5,1.36
"2666",2.79,3,3
"2667",17,8,1.18
"2668",2.7,3.1,3
"2669",9,4.5,1.44
"2670",2.5,3.2,3.2
"2671",2.37,3.1,3.5
"2672",2.62,3.1,3.1
"2673",12,5.75,1.3
"2674",3.25,3.2,2.25
"2675",2.54,3.1,3.2
"2676",3,3.1,2.7
"2677",2.62,3.25,3
"2678",2.62,3.1,3.1
"2679",6,4.33,1.6
"2680",2.05,3.4,4.2
"2681",2.14,3.39,3.75
"2682",9.5,5.75,1.33
"2683",5,3.89,1.75
"2684",1.83,3.6,5
"2685",1.89,3.6,4.5
"2686",4.5,3.6,1.9
"2687",1.66,3.79,6
"2688",1.85,3.89,4.33
"2689",1.8,3.6,5.25
"2690",1.72,3.89,5.25
"2691",1.85,3.75,4.5
"2692",1.95,3.6,4.2
"2693",2.25,3.29,3.2
"2694",2.25,3.5,3.39
"2695",3.75,3.79,2
"2696",2.8,3.25,2.8
"2697",1.25,6.75,13
"2698",1.39,5,9
"2699",2.14,3.6,3.5
"2700",1.3,6,11
"2701",1.22,7,15
"2702",1.16,9,19
"2703",1.3,6,11
"2704",3.1,3.75,2.29
"2705",2.1,3.75,3.6
"2706",1.22,7.5,13
"2707",1.22,7,15
"2708",1.19,8,15
"2709",1.25,7,12
"2710",1.33,5.75,10
"2711",1.19,8,15
"2712",1.14,9.5,21
"2713",1.11,12,26
"2714",1.39,5.5,7.5
"2715",1.19,8,15
"2716",1.08,11,21
"2717",1.55,4.59,6
"2718",1.12,11,23
"2719",1.12,8.5,19
"2720",1.12,10,26
"2721",1.14,10,21
"2722",1.19,6.5,13
"2723",1.61,4.2,6
"2724",1.89,3.79,4.2
"2725",1.14,9,23
"2726",1.08,13,34
"2727",1.12,10,27
"2728",1.17,7,15
"2729",2.14,3.39,3.79
"2730",1.28,5.75,13
"2731",1.19,7,19
"2732",3.39,3.5,2.25
"2733",1.28,6,12
"2734",1.25,6.5,15
"2735",1.36,5.5,9
"2736",1.22,7,15
"2737",1.16,8.5,19
"2738",2.29,3.25,3.5
"2739",2.75,3.39,2.75
"2740",1.25,6,10
"2741",1.18,8,19
"2742",1.44,4.75,8
"2743",1.39,5.25,8.5
"2744",5,3.8,1.67
"2745",2,3.5,4.2
"2746",2,3.5,4.2
"2747",2.2,3.5,3.5
"2748",2.62,3.29,2.89
"2749",2.39,3.29,3.25
"2750",13,6.75,1.25
"2751",2.14,3.2,4
"2752",1.95,3.39,4.5
"2753",2.2,3.2,3.89
"2754",5.5,3.75,1.61
"2755",2.79,3.2,2.79
"2756",1.75,3.39,5
"2757",3.29,3.6,2.25
"2758",1.85,3.6,4.75
"2759",6.5,4.2,1.6
"2760",1.91,3.6,4.5
"2761",1.85,3.39,5.25
"2762",1.66,3.75,6.5
"2763",1.9,3.39,4.75
"2764",4,3.75,1.95
"2765",2.1,3.39,3.89
"2766",1.61,3.89,6.5
"2767",1.9,3.39,4
"2768",5.75,4.09,1.64
"2769",1.75,3.5,6
"2770",4.2,3.79,1.8
"2771",1.75,3.75,5.25
"2772",4.5,3.75,1.85
"2773",1.72,4,5
"2774",9,5,1.39
"2775",2.14,3.5,3.6
"2776",2.7,3.29,2.87
"2777",6.5,4.5,1.55
"2778",1.95,3.39,4.5
"2779",2.29,3.29,3.5
"2780",2.29,3.25,3.5
"2781",2.29,3.29,3.5
"2782",2.04,3.39,4.09
"2783",2.25,3.5,3.39
"2784",2.2,3.2,3.39
"2785",15,6.5,1.25
"2786",2.5,3.29,3.1
"2787",11,5.5,1.33
"2788",2.29,3.29,3.5
"2789",2.7,3.39,2.79
"2790",2.2,3.25,3.75
"2791",2.79,3.25,2.75
"2792",2.39,3.2,3.39
"2793",2.79,3.25,2.79
"2794",2.7,3.1,3
"2795",15,6.5,1.25
"2796",3.29,3.2,2.45
"2797",12,4.75,1.3
"2798",12,5.75,1.3
"2799",7,4.59,1.5
"2800",2.37,3,3.25
"2801",2.6,3.25,3
"2802",2.54,3.25,3.1
"2803",7,4.33,1.53
"2804",3.1,3.25,2.54
"2805",1.9,3.79,4.2
"2806",1.2,8,15
"2807",2.25,3.5,3.39
"2808",1.28,6,12
"2809",1.25,6,16
"2810",1.28,6.5,11
"2811",1.25,6.5,15
"2812",1.36,5.25,10
"2813",1.25,6,10
"2814",1.28,6,13
"2815",2.35,3.29,3.39
"2816",2,3.6,3.5
"2817",1.19,7.5,17
"2818",2.62,3.6,2.7
"2819",1.16,8.5,21
"2820",1.18,8.5,17
"2821",1.33,6,9
"2822",5.25,4.33,1.65
"2823",2.04,3.6,3.79
"2824",2.1,3.5,3.75
"2825",5.25,3.89,1.72
"2826",5,4,1.72
"2827",1.8,3.75,5
"2828",2.54,3.5,2.87
"2829",1.66,3.79,6
"2830",2.5,3.39,3
"2831",6.25,4,1.61
"2832",2.25,3.39,3.5
"2833",2.14,3.29,3.89
"2834",2.29,3.29,3.1
"2835",2.39,3.2,3.39
"2836",2.89,3.39,2.54
"2837",2.37,3.39,3.2
"2838",2.15,3.2,3.5
"2839",11,6.5,1.28
"2840",6.5,4,1.61
"2841",2.37,3.1,3.5
"2842",2.5,3.2,3.2
"2843",6.5,4,1.6
"2844",2.54,3.2,3.1
"2845",5,4,1.72
"2846",2.14,3,4.33
"2847",2.54,3.2,3.1
"2848",1.95,3.29,4.75
"2849",3,3.25,2.6
"2850",2.5,3,3.1
"2851",2.37,3.2,3.39
"2852",7.5,4.5,1.5
"2853",8,4.75,1.44
"2854",1.83,3.5,5.25
"2855",5.25,4.33,1.66
"2856",2.7,3.39,2.75
"2857",7.5,4.5,1.5
"2858",5.25,4.2,1.66
"2859",2.1,3.39,3.89
"2860",1.9,3.39,4.09
"2861",2,3.6,4
"2862",3.1,3.25,2.54
"2863",2.5,3.29,2.79
"2864",2.29,3.2,3.6
"2865",2.7,3.25,2.6
"2866",2,3.6,4
"2867",10,5.75,1.33
"2868",4.75,3.79,1.8
"2869",2.45,3.5,3
"2870",1.53,4.5,6.5
"2871",3.9,3.9,1.95
"2872",1.66,4.2,5.25
"2873",2.62,3.6,2.75
"2874",1.28,6,12
"2875",2.25,3.5,3.4
