"","B365H","B365D","B365A"
"674",2.5,3.25,2.88
"675",3,3.3,2.38
"676",2.63,3.3,2.7
"677",2.38,3.3,3
"678",2.38,3.4,3
"679",2.4,3.4,2.88
"680",9,4.75,1.36
"681",3.5,3.4,2.1
"682",2.1,3.4,3.5
"683",2.4,3.5,2.88
"684",6.5,4,1.53
"685",2.2,3.2,3.5
"686",2.4,3.3,3
"687",3.1,3.25,2.38
"688",2.5,3.3,2.88
"689",2.5,3.4,2.8
"690",2.2,3.25,3.4
"691",6,3.75,1.62
"692",5,3.75,1.7
"693",2,3.5,3.75
"694",2.5,3.25,2.88
"695",2.4,3.4,2.9
"696",2.6,3.3,2.75
"697",2.2,3.3,3.4
"698",4,3.6,1.91
"699",2,3.5,3.75
"700",1.62,4,5.5
"701",1.83,3.5,4.5
"702",1.22,6,15
"703",2.4,3.3,3
"704",1.3,5,12
"705",1.29,5,13
"706",1.4,4.5,8.5
"707",2.5,3.3,2.88
"708",1.29,5.5,11
"709",1.4,4.5,8.5
"710",1.83,3.6,4.33
"711",1.25,6,12
"712",1.4,4.5,8.5
"713",1.5,4.33,6.5
"714",1.3,5.5,10
"715",3.1,3.2,2.4
"716",4.5,3.6,1.8
"717",1.57,3.75,6.5
"718",1.67,3.6,5.5
"719",1.62,3.75,6
"720",1.57,3.75,6.5
"721",1.5,4,7
"722",1.53,4,6.5
"723",4.33,3.5,1.85
"724",3.25,3.3,2.25
"725",2.88,3.25,2.5
"726",3,3.4,2.3
"727",1.83,3.5,4.5
"728",1.83,3.5,4.5
"729",1.83,3.5,4.5
"730",2.2,3.5,3.2
"731",2,3.3,4
"732",2.25,3.25,3.3
"733",3.25,3.3,2.25
"734",3.5,3.4,2.1
"735",1.62,3.75,6
"736",5,3.6,1.73
"737",4,3.5,1.91
"738",2,3.4,3.8
"739",1.83,3.5,4.5
"740",1.91,3.5,4
"741",1.57,3.75,6.5
"742",1.83,3.5,4.5
"743",1.7,3.75,5
"744",3.5,3.4,2.1
"745",1.91,3.6,4
"746",1.83,3.6,4.33
"747",3,3.3,2.4
"748",1.29,5.5,11
"749",1.29,5.5,10
"750",2.75,3.2,2.63
"751",1.33,5,10
"752",1.25,5.5,13
"753",1.53,4,6.5
"754",1.4,4.33,9
"755",2,3.4,3.8
"756",2,3.5,3.75
"757",1.73,3.4,5.5
"758",1.29,5.5,11
"759",1.44,4.33,7.5
"760",1.44,4.33,7.5
"761",1.62,4,5.5
"762",2.1,3.5,3.4
"763",1.33,5,10
"764",1.17,7,19
